# Czech Republic Fertility Rates — Eurostat dataset: demo_frate
# Retrieved: 2026-03-28 21:51 UTC
# Source: https://ec.europa.eu/eurostat
year,indicator,age,geo,value
2012,?,Y22,CZ,0.04112
2013,?,Y22,CZ,0.04132
2014,?,Y22,CZ,0.04095
2015,?,Y22,CZ,0.04126
2016,?,Y22,CZ,0.04806
2017,?,Y22,CZ,0.04864
2018,?,Y22,CZ,0.05028
2019,?,Y22,CZ,0.04877
2020,?,Y22,CZ,0.04894
2021,?,Y22,CZ,0.04551
2022,?,Y22,CZ,0.04278
2023,?,Y22,CZ,0.03666
2024,?,Y22,CZ,0.03375
1960,?,Y23,CZ,0.18793
1961,?,Y23,CZ,0.19268
1962,?,Y23,CZ,0.18856
1963,?,Y23,CZ,0.20873
1964,?,Y23,CZ,0.19907
1965,?,Y23,CZ,0.18438
1966,?,Y23,CZ,0.16788
1967,?,Y23,CZ,0.16722
1968,?,Y23,CZ,0.15805
1969,?,Y23,CZ,0.16361
1970,?,Y23,CZ,0.17135
1971,?,Y23,CZ,0.17782
1972,?,Y23,CZ,0.18318
1973,?,Y23,CZ,0.20613
1974,?,Y23,CZ,0.21978
1975,?,Y23,CZ,0.21811
1976,?,Y23,CZ,0.21062
1977,?,Y23,CZ,0.20529
1978,?,Y23,CZ,0.20802
1979,?,Y23,CZ,0.20182
1980,?,Y23,CZ,0.19046
1981,?,Y23,CZ,0.18831
1982,?,Y23,CZ,0.18415
1983,?,Y23,CZ,0.181
1984,?,Y23,CZ,0.17978
1985,?,Y23,CZ,0.18299
1986,?,Y23,CZ,0.17461
1987,?,Y23,CZ,0.17712
1988,?,Y23,CZ,0.17298
1989,?,Y23,CZ,0.17195
1990,?,Y23,CZ,0.17435
1991,?,Y23,CZ,0.16691
1992,?,Y23,CZ,0.15294
1993,?,Y23,CZ,0.14707
1994,?,Y23,CZ,0.12711
1995,?,Y23,CZ,0.11072
1996,?,Y23,CZ,0.10186
1997,?,Y23,CZ,0.09707
1998,?,Y23,CZ,0.093
1999,?,Y23,CZ,0.08477
2000,?,Y23,CZ,0.07996
2001,?,Y23,CZ,0.07067
2002,?,Y23,CZ,0.06586
2003,?,Y23,CZ,0.06136
2004,?,Y23,CZ,0.05647
2005,?,Y23,CZ,0.05496
2006,?,Y23,CZ,0.05366
2007,?,Y23,CZ,0.05536
2008,?,Y23,CZ,0.05371
2009,?,Y23,CZ,0.05365
2010,?,Y23,CZ,0.05218
2011,?,Y23,CZ,0.04724
2012,?,Y23,CZ,0.04835
2013,?,Y23,CZ,0.04704
2014,?,Y23,CZ,0.04888
2015,?,Y23,CZ,0.04949
2016,?,Y23,CZ,0.05525
2017,?,Y23,CZ,0.05704
2018,?,Y23,CZ,0.0564
2019,?,Y23,CZ,0.05639
2020,?,Y23,CZ,0.05873
2021,?,Y23,CZ,0.05755
2022,?,Y23,CZ,0.05506
2023,?,Y23,CZ,0.04548
2024,?,Y23,CZ,0.03979
1960,?,Y24,CZ,0.1741
1961,?,Y24,CZ,0.17347
1962,?,Y24,CZ,0.17871
1963,?,Y24,CZ,0.18582
1964,?,Y24,CZ,0.18807
1965,?,Y24,CZ,0.17035
1966,?,Y24,CZ,0.15789
1967,?,Y24,CZ,0.14864
1968,?,Y24,CZ,0.14818
1969,?,Y24,CZ,0.14475
1970,?,Y24,CZ,0.15108
1971,?,Y24,CZ,0.16094
1972,?,Y24,CZ,0.17505
1973,?,Y24,CZ,0.19177
1974,?,Y24,CZ,0.20139
1975,?,Y24,CZ,0.19927
1976,?,Y24,CZ,0.19407
1977,?,Y24,CZ,0.18773
1978,?,Y24,CZ,0.18846
1979,?,Y24,CZ,0.18368
1980,?,Y24,CZ,0.16756
1981,?,Y24,CZ,0.16345
1982,?,Y24,CZ,0.16517
1983,?,Y24,CZ,0.15609
1984,?,Y24,CZ,0.16144
1985,?,Y24,CZ,0.15996
1986,?,Y24,CZ,0.16198
1987,?,Y24,CZ,0.1585
1988,?,Y24,CZ,0.16381
1989,?,Y24,CZ,0.15886
1990,?,Y24,CZ,0.15747
1991,?,Y24,CZ,0.15459
1992,?,Y24,CZ,0.14318
1993,?,Y24,CZ,0.13954
1994,?,Y24,CZ,0.12074
1995,?,Y24,CZ,0.1074
1996,?,Y24,CZ,0.09817
1997,?,Y24,CZ,0.10119
1998,?,Y24,CZ,0.10083
1999,?,Y24,CZ,0.09393
2000,?,Y24,CZ,0.09144
2001,?,Y24,CZ,0.08292
2002,?,Y24,CZ,0.08037
2003,?,Y24,CZ,0.07455
2004,?,Y24,CZ,0.06999
2005,?,Y24,CZ,0.06734
2006,?,Y24,CZ,0.06414
2007,?,Y24,CZ,0.06663
2008,?,Y24,CZ,0.06786
2009,?,Y24,CZ,0.06172
2010,?,Y24,CZ,0.06164
2011,?,Y24,CZ,0.05775
2012,?,Y24,CZ,0.05659
2013,?,Y24,CZ,0.05484
2014,?,Y24,CZ,0.055
2015,?,Y24,CZ,0.06111
2016,?,Y24,CZ,0.06366
2017,?,Y24,CZ,0.06663
2018,?,Y24,CZ,0.07056
2019,?,Y24,CZ,0.06783
2020,?,Y24,CZ,0.07266
2021,?,Y24,CZ,0.07156
2022,?,Y24,CZ,0.06452
2023,?,Y24,CZ,0.05754
2024,?,Y24,CZ,0.05223
1960,?,Y25,CZ,0.15405
1961,?,Y25,CZ,0.15542
1962,?,Y25,CZ,0.15805
1963,?,Y25,CZ,0.17321
1964,?,Y25,CZ,0.16993
1965,?,Y25,CZ,0.15373
1966,?,Y25,CZ,0.13945
1967,?,Y25,CZ,0.13093
1968,?,Y25,CZ,0.12736
1969,?,Y25,CZ,0.13309
1970,?,Y25,CZ,0.13444
1971,?,Y25,CZ,0.1427
1972,?,Y25,CZ,0.15421
1973,?,Y25,CZ,0.17703
1974,?,Y25,CZ,0.17925
1975,?,Y25,CZ,0.17621
1976,?,Y25,CZ,0.16912
1977,?,Y25,CZ,0.16686
1978,?,Y25,CZ,0.16826
1979,?,Y25,CZ,0.16328
1980,?,Y25,CZ,0.14926
1981,?,Y25,CZ,0.1414
1982,?,Y25,CZ,0.14313
1983,?,Y25,CZ,0.14154
1984,?,Y25,CZ,0.13728
1985,?,Y25,CZ,0.14425
1986,?,Y25,CZ,0.14188
1987,?,Y25,CZ,0.14313
1988,?,Y25,CZ,0.14084
1989,?,Y25,CZ,0.14173
1990,?,Y25,CZ,0.14473
1991,?,Y25,CZ,0.13541
1992,?,Y25,CZ,0.12786
1993,?,Y25,CZ,0.12506
1994,?,Y25,CZ,0.1096
1995,?,Y25,CZ,0.10254
1996,?,Y25,CZ,0.097
1997,?,Y25,CZ,0.10097
1998,?,Y25,CZ,0.09951
1999,?,Y25,CZ,0.09966
2000,?,Y25,CZ,0.09879
2001,?,Y25,CZ,0.09571
2002,?,Y25,CZ,0.09155
2003,?,Y25,CZ,0.08479
2004,?,Y25,CZ,0.08502
2005,?,Y25,CZ,0.08293
2006,?,Y25,CZ,0.08054
2007,?,Y25,CZ,0.08126
2008,?,Y25,CZ,0.08104
2009,?,Y25,CZ,0.0773
2010,?,Y25,CZ,0.07326
2011,?,Y25,CZ,0.06596
2012,?,Y25,CZ,0.0683
2013,?,Y25,CZ,0.06636
2014,?,Y25,CZ,0.06846
2015,?,Y25,CZ,0.07067
2016,?,Y25,CZ,0.07643
2017,?,Y25,CZ,0.0769
2018,?,Y25,CZ,0.08112
2019,?,Y25,CZ,0.0839
2020,?,Y25,CZ,0.08376
2021,?,Y25,CZ,0.08995
2022,?,Y25,CZ,0.07845
2023,?,Y25,CZ,0.07103
2024,?,Y25,CZ,0.06667
1960,?,Y25-29,CZ,0.11501
1961,?,Y25-29,CZ,0.11579
1962,?,Y25-29,CZ,0.11804
1963,?,Y25-29,CZ,0.13204
1964,?,Y25-29,CZ,0.13455
1965,?,Y25-29,CZ,0.12321
1966,?,Y25-29,CZ,0.11214
1967,?,Y25-29,CZ,0.10315
1968,?,Y25-29,CZ,0.09922
1969,?,Y25-29,CZ,0.10023
1970,?,Y25-29,CZ,0.10395
1971,?,Y25-29,CZ,0.11185
1972,?,Y25-29,CZ,0.11859
1973,?,Y25-29,CZ,0.13537
1974,?,Y25-29,CZ,0.1416
1975,?,Y25-29,CZ,0.13502
1976,?,Y25-29,CZ,0.12982
1977,?,Y25-29,CZ,0.12499
1978,?,Y25-29,CZ,0.12391
1979,?,Y25-29,CZ,0.12054
1980,?,Y25-29,CZ,0.10825
1981,?,Y25-29,CZ,0.10335
1982,?,Y25-29,CZ,0.10277
1983,?,Y25-29,CZ,0.10026
1984,?,Y25-29,CZ,0.09993
1985,?,Y25-29,CZ,0.10052
1986,?,Y25-29,CZ,0.10076
1987,?,Y25-29,CZ,0.10211
1988,?,Y25-29,CZ,0.10583
1989,?,Y25-29,CZ,0.10393
1990,?,Y25-29,CZ,0.10561
1991,?,Y25-29,CZ,0.10107
1992,?,Y25-29,CZ,0.09477
1993,?,Y25-29,CZ,0.09424
1994,?,Y25-29,CZ,0.08556
1995,?,Y25-29,CZ,0.0814
1996,?,Y25-29,CZ,0.07921
1997,?,Y25-29,CZ,0.08268
1998,?,Y25-29,CZ,0.0848
1999,?,Y25-29,CZ,0.08638
2000,?,Y25-29,CZ,0.091
2001,?,Y25-29,CZ,0.0925
2002,?,Y25-29,CZ,0.0939
2003,?,Y25-29,CZ,0.09462
2004,?,Y25-29,CZ,0.0978
2005,?,Y25-29,CZ,0.1014
2006,?,Y25-29,CZ,0.10216
2007,?,Y25-29,CZ,0.10676
2008,?,Y25-29,CZ,0.1073
2009,?,Y25-29,CZ,0.10432
2010,?,Y25-29,CZ,0.10151
2011,?,Y25-29,CZ,0.09358
2012,?,Y25-29,CZ,0.09339
2013,?,Y25-29,CZ,0.09234
2014,?,Y25-29,CZ,0.09561
2015,?,Y25-29,CZ,0.097
2016,?,Y25-29,CZ,0.09936
2017,?,Y25-29,CZ,0.10367
2018,?,Y25-29,CZ,0.10533
2019,?,Y25-29,CZ,0.10791
2020,?,Y25-29,CZ,0.11063
2021,?,Y25-29,CZ,0.1175
2022,?,Y25-29,CZ,0.10641
2023,?,Y25-29,CZ,0.09493
2024,?,Y25-29,CZ,0.08723
1960,?,Y26,CZ,0.13454
1961,?,Y26,CZ,0.13487
1962,?,Y26,CZ,0.13714
1963,?,Y26,CZ,0.1522
1964,?,Y26,CZ,0.15145
1965,?,Y26,CZ,0.13514
1966,?,Y26,CZ,0.12878
1967,?,Y26,CZ,0.11462
1968,?,Y26,CZ,0.11258
1969,?,Y26,CZ,0.11028
1970,?,Y26,CZ,0.12176
1971,?,Y26,CZ,0.12601
1972,?,Y26,CZ,0.13373
1973,?,Y26,CZ,0.15433
1974,?,Y26,CZ,0.16285
1975,?,Y26,CZ,0.15305
1976,?,Y26,CZ,0.1492
1977,?,Y26,CZ,0.14352
1978,?,Y26,CZ,0.1431
1979,?,Y26,CZ,0.14121
1980,?,Y26,CZ,0.12802
1981,?,Y26,CZ,0.12203
1982,?,Y26,CZ,0.122
1983,?,Y26,CZ,0.11763
1984,?,Y26,CZ,0.12358
1985,?,Y26,CZ,0.11996
1986,?,Y26,CZ,0.1208
1987,?,Y26,CZ,0.12263
1988,?,Y26,CZ,0.12578
1989,?,Y26,CZ,0.11679
1990,?,Y26,CZ,0.12203
1991,?,Y26,CZ,0.11874
1992,?,Y26,CZ,0.11022
1993,?,Y26,CZ,0.11004
1994,?,Y26,CZ,0.10022
1995,?,Y26,CZ,0.09459
1996,?,Y26,CZ,0.08896
1997,?,Y26,CZ,0.09127
1998,?,Y26,CZ,0.09199
1999,?,Y26,CZ,0.09508
2000,?,Y26,CZ,0.1007
2001,?,Y26,CZ,0.09923
2002,?,Y26,CZ,0.09948
2003,?,Y26,CZ,0.09783
2004,?,Y26,CZ,0.09642
2005,?,Y26,CZ,0.09595
2006,?,Y26,CZ,0.0933
2007,?,Y26,CZ,0.09521
2008,?,Y26,CZ,0.09527
2009,?,Y26,CZ,0.0934
2010,?,Y26,CZ,0.08853
2011,?,Y26,CZ,0.08125
2012,?,Y26,CZ,0.07951
2013,?,Y26,CZ,0.08081
2014,?,Y26,CZ,0.08027
2015,?,Y26,CZ,0.08461
2016,?,Y26,CZ,0.08414
2017,?,Y26,CZ,0.09397
2018,?,Y26,CZ,0.0918
2019,?,Y26,CZ,0.09712
2020,?,Y26,CZ,0.09877
2021,?,Y26,CZ,0.10092
2022,?,Y26,CZ,0.09461
2023,?,Y26,CZ,0.08596
2024,?,Y26,CZ,0.0793
1960,?,Y27,CZ,0.11577
1961,?,Y27,CZ,0.11567
1962,?,Y27,CZ,0.11851
1963,?,Y27,CZ,0.12994
1964,?,Y27,CZ,0.13648
1965,?,Y27,CZ,0.12443
1966,?,Y27,CZ,0.10919
1967,?,Y27,CZ,0.0998
1968,?,Y27,CZ,0.09374
1969,?,Y27,CZ,0.09734
1970,?,Y27,CZ,0.10013
1971,?,Y27,CZ,0.10927
1972,?,Y27,CZ,0.11463
1973,?,Y27,CZ,0.12752
1974,?,Y27,CZ,0.14245
1975,?,Y27,CZ,0.13516
1976,?,Y27,CZ,0.12788
1977,?,Y27,CZ,0.12237
1978,?,Y27,CZ,0.12188
1979,?,Y27,CZ,0.11894
1980,?,Y27,CZ,0.10759
1981,?,Y27,CZ,0.1013
1982,?,Y27,CZ,0.1016
1983,?,Y27,CZ,0.09928
1984,?,Y27,CZ,0.09885
1985,?,Y27,CZ,0.10096
1986,?,Y27,CZ,0.09869
1987,?,Y27,CZ,0.10079
1988,?,Y27,CZ,0.10561
1989,?,Y27,CZ,0.10218
1990,?,Y27,CZ,0.10088
1991,?,Y27,CZ,0.1001
1992,?,Y27,CZ,0.09319
1993,?,Y27,CZ,0.09628
1994,?,Y27,CZ,0.08583
1995,?,Y27,CZ,0.07948
1996,?,Y27,CZ,0.07994
1997,?,Y27,CZ,0.08163
1998,?,Y27,CZ,0.08649
1999,?,Y27,CZ,0.08601
2000,?,Y27,CZ,0.09179
2001,?,Y27,CZ,0.09731
2002,?,Y27,CZ,0.09854
2003,?,Y27,CZ,0.10019
2004,?,Y27,CZ,0.10288
2005,?,Y27,CZ,0.10538
2006,?,Y27,CZ,0.10461
2007,?,Y27,CZ,0.11142
2008,?,Y27,CZ,0.10919
2009,?,Y27,CZ,0.10524
2010,?,Y27,CZ,0.10236
2011,?,Y27,CZ,0.09599
2012,?,Y27,CZ,0.09398
2013,?,Y27,CZ,0.09368
2014,?,Y27,CZ,0.09813
2015,?,Y27,CZ,0.09705
2016,?,Y27,CZ,0.10127
2017,?,Y27,CZ,0.10331
2018,?,Y27,CZ,0.10863
2019,?,Y27,CZ,0.10915
2020,?,Y27,CZ,0.11414
2021,?,Y27,CZ,0.12114
2022,?,Y27,CZ,0.106
2023,?,Y27,CZ,0.09785
2024,?,Y27,CZ,0.08932
1960,?,Y28,CZ,0.09698
1961,?,Y28,CZ,0.09717
1962,?,Y28,CZ,0.09872
1963,?,Y28,CZ,0.113
1964,?,Y28,CZ,0.11617
1965,?,Y28,CZ,0.10778
1966,?,Y28,CZ,0.09429
1967,?,Y28,CZ,0.08733
1968,?,Y28,CZ,0.08441
1969,?,Y28,CZ,0.0826
1970,?,Y28,CZ,0.08518
1971,?,Y28,CZ,0.09383
1972,?,Y28,CZ,0.09763
1973,?,Y28,CZ,0.11042
1974,?,Y28,CZ,0.11732
1975,?,Y28,CZ,0.11475
1976,?,Y28,CZ,0.11135
1977,?,Y28,CZ,0.10434
1978,?,Y28,CZ,0.10258
1979,?,Y28,CZ,0.09711
1980,?,Y28,CZ,0.0866
1981,?,Y28,CZ,0.08446
1982,?,Y28,CZ,0.08247
1983,?,Y28,CZ,0.08296
1984,?,Y28,CZ,0.08145
1985,?,Y28,CZ,0.08183
1986,?,Y28,CZ,0.08403
1987,?,Y28,CZ,0.08006
1988,?,Y28,CZ,0.08735
1989,?,Y28,CZ,0.08239
1990,?,Y28,CZ,0.08424
1991,?,Y28,CZ,0.0806
1992,?,Y28,CZ,0.0795
1993,?,Y28,CZ,0.07884
1994,?,Y28,CZ,0.07191
1995,?,Y28,CZ,0.0708
1996,?,Y28,CZ,0.06868
1997,?,Y28,CZ,0.07258
1998,?,Y28,CZ,0.07492
1999,?,Y28,CZ,0.07987
2000,?,Y28,CZ,0.08509
2001,?,Y28,CZ,0.08945
2002,?,Y28,CZ,0.09522
2003,?,Y28,CZ,0.09734
2004,?,Y28,CZ,0.1056
2005,?,Y28,CZ,0.11011
2006,?,Y28,CZ,0.11222
2007,?,Y28,CZ,0.11816
2008,?,Y28,CZ,0.12075
2009,?,Y28,CZ,0.11669
2010,?,Y28,CZ,0.11838
2011,?,Y28,CZ,0.108
2012,?,Y28,CZ,0.10909
2013,?,Y28,CZ,0.10338
2014,?,Y28,CZ,0.10869
2015,?,Y28,CZ,0.11147
2016,?,Y28,CZ,0.11093
2017,?,Y28,CZ,0.11622
2018,?,Y28,CZ,0.11641
2019,?,Y28,CZ,0.12003
2020,?,Y28,CZ,0.11988
2021,?,Y28,CZ,0.13133
2022,?,Y28,CZ,0.11852
2023,?,Y28,CZ,0.10278
2024,?,Y28,CZ,0.09712
1960,?,Y29,CZ,0.08234
1961,?,Y29,CZ,0.08291
1962,?,Y29,CZ,0.08362
1963,?,Y29,CZ,0.09513
1964,?,Y29,CZ,0.09864
1965,?,Y29,CZ,0.09087
1966,?,Y29,CZ,0.08167
1967,?,Y29,CZ,0.07596
1968,?,Y29,CZ,0.07008
1969,?,Y29,CZ,0.06884
1970,?,Y29,CZ,0.07052
1971,?,Y29,CZ,0.0799
1972,?,Y29,CZ,0.08263
1973,?,Y29,CZ,0.09715
1974,?,Y29,CZ,0.09894
1975,?,Y29,CZ,0.09569
1976,?,Y29,CZ,0.09428
1977,?,Y29,CZ,0.08918
1978,?,Y29,CZ,0.08443
1979,?,Y29,CZ,0.08419
1980,?,Y29,CZ,0.07329
1981,?,Y29,CZ,0.07111
1982,?,Y29,CZ,0.06861
1983,?,Y29,CZ,0.06568
1984,?,Y29,CZ,0.06744
1985,?,Y29,CZ,0.0674
1986,?,Y29,CZ,0.06797
1987,?,Y29,CZ,0.0687
1988,?,Y29,CZ,0.06766
1989,?,Y29,CZ,0.06909
1990,?,Y29,CZ,0.06834
1991,?,Y29,CZ,0.0668
1992,?,Y29,CZ,0.06445
1993,?,Y29,CZ,0.06492
1994,?,Y29,CZ,0.0624
1995,?,Y29,CZ,0.05896
1996,?,Y29,CZ,0.05904
1997,?,Y29,CZ,0.06318
1998,?,Y29,CZ,0.06691
1999,?,Y29,CZ,0.06633
2000,?,Y29,CZ,0.07449
2001,?,Y29,CZ,0.07812
2002,?,Y29,CZ,0.08359
2003,?,Y29,CZ,0.09248
2004,?,Y29,CZ,0.0982
2005,?,Y29,CZ,0.11007
2006,?,Y29,CZ,0.11539
2007,?,Y29,CZ,0.12161
2008,?,Y29,CZ,0.12453
2009,?,Y29,CZ,0.12494
2010,?,Y29,CZ,0.12278
2011,?,Y29,CZ,0.11506
2012,?,Y29,CZ,0.11442
2013,?,Y29,CZ,0.116
2014,?,Y29,CZ,0.12096
2015,?,Y29,CZ,0.11976
2016,?,Y29,CZ,0.12273
2017,?,Y29,CZ,0.12568
2018,?,Y29,CZ,0.12569
2019,?,Y29,CZ,0.12538
2020,?,Y29,CZ,0.13004
2021,?,Y29,CZ,0.13539
2022,?,Y29,CZ,0.12603
2023,?,Y29,CZ,0.11196
2024,?,Y29,CZ,0.10136
1960,?,Y30,CZ,0.06775
1961,?,Y30,CZ,0.07219
1962,?,Y30,CZ,0.06906
1963,?,Y30,CZ,0.08039
1964,?,Y30,CZ,0.08369
1965,?,Y30,CZ,0.07737
1966,?,Y30,CZ,0.06777
1967,?,Y30,CZ,0.06084
1968,?,Y30,CZ,0.05791
1969,?,Y30,CZ,0.05749
1970,?,Y30,CZ,0.06213
1971,?,Y30,CZ,0.06549
1972,?,Y30,CZ,0.06788
1973,?,Y30,CZ,0.08008
1974,?,Y30,CZ,0.08429
1975,?,Y30,CZ,0.07892
1976,?,Y30,CZ,0.07684
1977,?,Y30,CZ,0.07514
1978,?,Y30,CZ,0.07215
1979,?,Y30,CZ,0.06904
1980,?,Y30,CZ,0.0592
1981,?,Y30,CZ,0.05684
1982,?,Y30,CZ,0.05694
1983,?,Y30,CZ,0.05365
1984,?,Y30,CZ,0.05424
1985,?,Y30,CZ,0.05485
1986,?,Y30,CZ,0.05527
1987,?,Y30,CZ,0.05452
1988,?,Y30,CZ,0.05936
1989,?,Y30,CZ,0.0536
1990,?,Y30,CZ,0.05703
1991,?,Y30,CZ,0.05487
1992,?,Y30,CZ,0.05276
1993,?,Y30,CZ,0.05211
1994,?,Y30,CZ,0.05187
1995,?,Y30,CZ,0.04989
1996,?,Y30,CZ,0.04979
1997,?,Y30,CZ,0.05166
1998,?,Y30,CZ,0.05433
1999,?,Y30,CZ,0.05601
2000,?,Y30,CZ,0.0621
2001,?,Y30,CZ,0.06822
2002,?,Y30,CZ,0.07463
2003,?,Y30,CZ,0.08172
2004,?,Y30,CZ,0.09022
2005,?,Y30,CZ,0.09715
2006,?,Y30,CZ,0.10658
2007,?,Y30,CZ,0.11888
2008,?,Y30,CZ,0.12569
2009,?,Y30,CZ,0.12422
2010,?,Y30,CZ,0.12482
2011,?,Y30,CZ,0.11669
2012,?,Y30,CZ,0.1195
2013,?,Y30,CZ,0.11674
2014,?,Y30,CZ,0.12501
2015,?,Y30,CZ,0.1241
2016,?,Y30,CZ,0.12365
2017,?,Y30,CZ,0.12867
2018,?,Y30,CZ,0.12832
2019,?,Y30,CZ,0.12698
2020,?,Y30,CZ,0.1264
2021,?,Y30,CZ,0.14197
2022,?,Y30,CZ,0.12126
2023,?,Y30,CZ,0.11157
2024,?,Y30,CZ,0.10492
1960,?,Y30-34,CZ,0.04995
1961,?,Y30-34,CZ,0.05112
1962,?,Y30-34,CZ,0.04889
1963,?,Y30-34,CZ,0.05689
1964,?,Y30-34,CZ,0.06005
1965,?,Y30-34,CZ,0.05519
1966,?,Y30-34,CZ,0.04792
1967,?,Y30-34,CZ,0.04312
1968,?,Y30-34,CZ,0.04011
1969,?,Y30-34,CZ,0.04115
1970,?,Y30-34,CZ,0.04188
1971,?,Y30-34,CZ,0.04607
1972,?,Y30-34,CZ,0.049
1973,?,Y30-34,CZ,0.05553
1974,?,Y30-34,CZ,0.06013
1975,?,Y30-34,CZ,0.05725
1976,?,Y30-34,CZ,0.05507
1977,?,Y30-34,CZ,0.05339
1978,?,Y30-34,CZ,0.05205
1979,?,Y30-34,CZ,0.04972
1980,?,Y30-34,CZ,0.04196
1981,?,Y30-34,CZ,0.03966
1982,?,Y30-34,CZ,0.0389
1983,?,Y30-34,CZ,0.03752
1984,?,Y30-34,CZ,0.03735
1985,?,Y30-34,CZ,0.03744
1986,?,Y30-34,CZ,0.03744
1987,?,Y30-34,CZ,0.03647
1988,?,Y30-34,CZ,0.03875
1989,?,Y30-34,CZ,0.03659
1990,?,Y30-34,CZ,0.03758
1991,?,Y30-34,CZ,0.0365
1992,?,Y30-34,CZ,0.03511
1993,?,Y30-34,CZ,0.03711
1994,?,Y30-34,CZ,0.03576
1995,?,Y30-34,CZ,0.03525
1996,?,Y30-34,CZ,0.03514
1997,?,Y30-34,CZ,0.03614
1998,?,Y30-34,CZ,0.03747
1999,?,Y30-34,CZ,0.0394
2000,?,Y30-34,CZ,0.04322
2001,?,Y30-34,CZ,0.0483
2002,?,Y30-34,CZ,0.05291
2003,?,Y30-34,CZ,0.05744
2004,?,Y30-34,CZ,0.06459
2005,?,Y30-34,CZ,0.07221
2006,?,Y30-34,CZ,0.07941
2007,?,Y30-34,CZ,0.09013
2008,?,Y30-34,CZ,0.09695
2009,?,Y30-34,CZ,0.09788
2010,?,Y30-34,CZ,0.1001
2011,?,Y30-34,CZ,0.09575
2012,?,Y30-34,CZ,0.09802
2013,?,Y30-34,CZ,0.09812
2014,?,Y30-34,CZ,0.10439
2015,?,Y30-34,CZ,0.10628
2016,?,Y30-34,CZ,0.10923
2017,?,Y30-34,CZ,0.11188
2018,?,Y30-34,CZ,0.1125
2019,?,Y30-34,CZ,0.11137
2020,?,Y30-34,CZ,0.1134
2021,?,Y30-34,CZ,0.12248
2022,?,Y30-34,CZ,0.10735
2023,?,Y30-34,CZ,0.09556
2024,?,Y30-34,CZ,0.09053
1960,?,Y31,CZ,0.05772
1961,?,Y31,CZ,0.05813
1962,?,Y31,CZ,0.05603
1963,?,Y31,CZ,0.06714
1964,?,Y31,CZ,0.06997
1965,?,Y31,CZ,0.06618
1966,?,Y31,CZ,0.05642
1967,?,Y31,CZ,0.05196
1968,?,Y31,CZ,0.04661
1969,?,Y31,CZ,0.04926
1970,?,Y31,CZ,0.04718
1971,?,Y31,CZ,0.05323
1972,?,Y31,CZ,0.05718
1973,?,Y31,CZ,0.06501
1974,?,Y31,CZ,0.06914
1975,?,Y31,CZ,0.06801
1976,?,Y31,CZ,0.06392
1977,?,Y31,CZ,0.05992
1978,?,Y31,CZ,0.06058
1979,?,Y31,CZ,0.05895
1980,?,Y31,CZ,0.04807
1981,?,Y31,CZ,0.04815
1982,?,Y31,CZ,0.04528
1983,?,Y31,CZ,0.04496
1984,?,Y31,CZ,0.04522
1985,?,Y31,CZ,0.04423
1986,?,Y31,CZ,0.04526
1987,?,Y31,CZ,0.0429
1988,?,Y31,CZ,0.0462
1989,?,Y31,CZ,0.04486
1990,?,Y31,CZ,0.04379
1991,?,Y31,CZ,0.04435
1992,?,Y31,CZ,0.04172
1993,?,Y31,CZ,0.04351
1994,?,Y31,CZ,0.03975
1995,?,Y31,CZ,0.04065
1996,?,Y31,CZ,0.04189
1997,?,Y31,CZ,0.04176
1998,?,Y31,CZ,0.04459
1999,?,Y31,CZ,0.04644
2000,?,Y31,CZ,0.0526
2001,?,Y31,CZ,0.05839
2002,?,Y31,CZ,0.06144
2003,?,Y31,CZ,0.06558
2004,?,Y31,CZ,0.07586
2005,?,Y31,CZ,0.0845
2006,?,Y31,CZ,0.09322
2007,?,Y31,CZ,0.10357
2008,?,Y31,CZ,0.11277
2009,?,Y31,CZ,0.11384
2010,?,Y31,CZ,0.11658
2011,?,Y31,CZ,0.11046
2012,?,Y31,CZ,0.11328
2013,?,Y31,CZ,0.1142
2014,?,Y31,CZ,0.11718
2015,?,Y31,CZ,0.11976
2016,?,Y31,CZ,0.12315
2017,?,Y31,CZ,0.12308
2018,?,Y31,CZ,0.12308
2019,?,Y31,CZ,0.12099
2020,?,Y31,CZ,0.12818
2021,?,Y31,CZ,0.13386
2022,?,Y31,CZ,0.12087
2023,?,Y31,CZ,0.10319
2024,?,Y31,CZ,0.09949
1960,?,Y32,CZ,0.04794
1961,?,Y32,CZ,0.05
1962,?,Y32,CZ,0.04897
1963,?,Y32,CZ,0.05505
1964,?,Y32,CZ,0.05968
1965,?,Y32,CZ,0.05482
1966,?,Y32,CZ,0.048
1967,?,Y32,CZ,0.04125
1968,?,Y32,CZ,0.03989
1969,?,Y32,CZ,0.04007
1970,?,Y32,CZ,0.0391
1971,?,Y32,CZ,0.04386
1972,?,Y32,CZ,0.04658
1973,?,Y32,CZ,0.05051
1974,?,Y32,CZ,0.0578
1975,?,Y32,CZ,0.05431
1976,?,Y32,CZ,0.05391
1977,?,Y32,CZ,0.04975
1978,?,Y32,CZ,0.04863
1979,?,Y32,CZ,0.04737
1980,?,Y32,CZ,0.04079
1981,?,Y32,CZ,0.03781
1982,?,Y32,CZ,0.03734
1983,?,Y32,CZ,0.03664
1984,?,Y32,CZ,0.03614
1985,?,Y32,CZ,0.03615
1986,?,Y32,CZ,0.03652
1987,?,Y32,CZ,0.03503
1988,?,Y32,CZ,0.03629
1989,?,Y32,CZ,0.0357
1990,?,Y32,CZ,0.03815
